Region,Year,Population,Primary Health Centres,Secondary Hospitals,Schools,Water Supply Stations,Police Stations
All India,2025,1346329088.0,26926,2692,448776,134632,13463
All India,2030,1470695936.0,29413,2941,490231,147069,14706
